Part,Quantity,Price,Source
BNO055 IMU Fusion Sensor,1,"₺1,718.00",9-DOF Mutlak Oryantasyon IMU Füzyon Tümleşik Kartı - BNO055 Uygun Fiyatıyla Satın Al - Direnc.net®
Raspberry Pico WH,1,₺390.00,Raspberry Pi Pico WH Satın Al | Robolink Market
SX1278 LoRa 433 MHz,1,₺440.00,LoRa SX1278 433 MHz Modül Uygun Fiyatıyla Satın Al - Direnc.net®
Raspberry Pico UPS Module,1,₺600.00,UPS Module for Raspberry Pi Pico (Uninterruptible Power Supply) Buy | SAMM Market
3.7V 2500mAh 18650 Li-ion,1,₺158.00,3.7V 2500mAh 18650 Li-ion Şarjlı Pil - Başlı Satın Al | Robolink Market
RG316 SMA Kablo 50cm,1,₺55.00,RG316 SMA Erkek - Dişi Konnektör Kablo 50cm Uygun Fiyatıyla Satın Al - Direnc.net®
433MHz 100mm 3dbi,1,₺66.00,433MHz 100mm Sma Erkek (Male) Anten DAA043SA100S Uygun Fiyatıyla Satın Al - Direnc.net®
Flat Kablo,1,₺16.50,16 Pin Flat Kablo - 1 Metre Satın Al | Robolink Market
DFRobot Sunflower,1,₺400.00,Güneş Paneli Güç Kontrol Cihazı Uygun Fiyatıyla Satın Al - Direnc.net®
6V 150mA Solar Panel 105x66mm,1,₺170.00,6V / 150mA Güneş Pili (105x66) Uygun Fiyatıyla Satın Al - Direnc.net®